"questions","keywords"
"What is the geographical location of Thailand?","Thailand"
"How is the economy of the Netherlands performing?","Netherlands"
"What are the main industries in Georgia?","Georgia"
"What is the size and population of China?","country China"
"How has Bangladesh been affected by recent natural disasters?","Bangladesh"
"What are some tourist attractions in Alexandria?","Alexandria"
"What is the population of Xiaogan China?","Xiaogan"
"Can you provide information about Glendale a city in the United States?","city Glendale"
"What are the popular attractions in Granada Spain?","city Granada"
"Where is Lake Kariba located and what are its notable features?","Lake Kariba"
"How is Niger's economy structured?","Niger"
"What countries border the Arabian Sea?","Arabian Sea"
"What is the significance of Sardegna in Italy?","Sardegna"
"What is the Arab Cooperation Council and what is its purpose?","Arab Cooperation Council"
"Can you provide information about the World Labor Organization?","world labor"
"What is the Islamic Conference and what countries are its members?","Islamic Conference"
"What is the 30 Group and what is its role in international affairs?","30 group"
"How does the Caribbean Economic Community promote regional integration?","Caribbean economic"
"Can you provide information about the relationship between Slovakia and Hungary?","slovakia hungary"
"How does Mongolia cooperate with China?","mongolia china"
"What are the economic ties between Niger and Algeria?","niger algeria"
"How does Kuwait's economy compare to that of Saudi Arabia?","kuwait saudi arabia"
"What is the current situation in Lebanon and Syria?","lebanon syria"
"How is the economy of Cameroon performing?","Cameroon economy"
"What is the GDP of Nigeria and what are its main sources of revenue?","Nigeria gdp"
"Can you provide information about the political landscape of Mongolia?","Mongolia Republic"
"Tell me about Kiribati politics","Kiribati politics"
"Tell me about Poland language","Poland  language"
"What is the significance of the Galician language in Spain?","Spain Galician"
"Tell me about Uzbekistan eastern orthodox","Uzbekistan eastern orthodox"
"Can you provide information about the religion in Haiti?","Haiti religion"
"What are the major ethnic groups in Suriname?","Suriname ethnic group"
"How is the German language used in Slovakia?","Slovakia German"
"What organization does Cape Verde belong to?","poland cape verde organization"
"What is the relationship between Saint Kitts and Cambodia?","saint kitts cambodia"
"Can you provide information about the organization in the Marshall Islands and Grenadines?","marshall islands grenadines organization"
"What organization does Cote d'Ivoire belong to?","czech republic cote divoire organization"
"What is the relationship between Panama and Oman?","panama oman"
"Can you provide information about Iceland's relationship with Mali?","iceland mali"
"What is the current situation in Guyana and Sierra Leone?","guyana sierra leone"
"How does Mauritius interact with India?","mauritius india"
"Can you provide information about Vanuatu's relationship with Afghanistan?","vanuatu afghanistan"
"What is the current political situation in Libya?","libya australia"
"Can you provide information about the Hutu population in Africa?","Hutu Africa"
"How does Serbia interact with Europe?","Serb Europe"
"Telle me informations about Uzbekistan, Asia?","Uzbek Asia"
"Can you provide information about Rheine, a city in Germany?","Rheine Germany"
"What is the significance of the Nile River in Egypt?","Egypt Nile"
