Sentence,Keywords esperados,
What is the capital of Georgia?,capital Georgia,
What is the total of provinces of Netherlands?,total provinces Netherland,
total provinces Netherland,total provinces Netherland,
Show me cities with longitude between 0 and 6,total province netherlands,city longitude between 0 and 6
Which city in Thailand has the largest area?,largest area city Thailand,
What are the provinces with an area greater than 1000 in Niger?,provinces area greater than 1000 Niger,
What country has area greater that China?,country area greater than China,
What language is spoken in Poland?,Poland language,
Where is the city Glendale,city Glendale,
Tell me about the religion that is practiced in Haiti,Haiti religion,
What is the area of the city Granada?,area city Granada,
What is the population of Alexandria?,population Alexandria,
Which cities have less population than sonsonate?,less population sonsonate,
tell me relevant data of Lake Kariba,Lake Kariba,
where is the central office of the Islamic Conference?,central office Islamic Conference,
tell me about the Caribbean economic,Caribbean economic,
Which nation is greater: panama or oman?,panama oman,
Which cities in Spain have a larger population than Galicia?,"cities Spain, population Galicia",
provinces of saudi arabia with a larger population than kuwait,provinces of saudi arabia with a larger population than kuwait,
